,Company Name,Sector,Stage,Amount($),Location,Funding Year,Founders,Investor,label
381,Bombay Shaving,Ecommerce,Bridge Round,1600000.0,Bangalore,2016.3733440385388,Shantanu Deshpande,Sixth Sense Ventures,non-technology
382,Ruangguru,Edtech,Series C,1600000.0,Mumbai,2014.0,"Adamas Belva Syah Devara, Iman Usman.",General Atlantic,technology
383,Eduisfun,Edtech,Fresh funding,1600000.0,Mumbai,2016.3733440385388,Jatin Solanki,"Deepak Parekh, Amitabh Bachchan, Piyush Pandey",technology
384,HomeLane,Interior design,Series D,1600000.0,Chennai,2014.0,"Srikanth Iyer, Rama Harinath","Evolvence India Fund (EIF), Pidilite Group, FJ Labs",non-technology
385,Nu Genes,AgriTech,Bridge Round,1600000.0,Telangana,2004.0,Narayana Reddy Punyala,Innovation in Food and Agriculture (IFA),non-technology
387,Finly,SaaS,Bridge Round,1600000.0,Bangalore,2016.3733440385388,"Vivek AG, Veekshith C Rai","Social Capital, AngelList India, Gemba Capital, Omphalos Ventures,  91springboard via Atal Innovation Mission, Niti Aayog.",non-technology
388,Kratikal,Technology,Pre series A,1600000.0,Noida,2013.0,"Pavan Kushwaha, Paratosh Bansal, Dip Jung Thapa","Gilda VC, Art Venture, Rajeev Chitrabhanu.",non-technology
389,Quantiphi,AI & Tech,Series A,1600000.0,Bangalore,2016.3733440385388,Renuka Ramnath,Multiples Alternate Asset Management,technology
390,Lenskart,E-commerce,Series G,1600000.0,Delhi,2010.0,"Peyush Bansal, Amit Chaudhary, Sumeet Kapahi",SoftBank,non-technology
391,Cub McPaws,E-commerce & AR,Bridge Round,1600000.0,Mumbai,2010.0,"Abhay Bhat, Kinnar Shah",Venture Catalysts,non-technology
392,Appnomic,SaaS,Bridge Round,1600000.0,Bangalore,2016.3733440385388,D Padmanabhan,Avataar Ventures,non-technology
393,Kaleidofin,Fintech,Series A,1600000.0,Chennai,2018.0,"Puneet Gupta, Sucharita Mukherjee",Oikocredit,technology
394,JobSquare,HR tech,Bridge Round,1600000.0,Ahmedabad,2019.0,Ishit Jethwa,Titan Capital,technology
395,Open Secret,Food tech,Bridge Round,1600000.0,Bangalore,2016.3733440385388,"Ahana Gautam, Udit Kejriwal",Matrix Partners,technology
396,LivFin,Fintech,Bridge Round,1600000.0,Delhi,2017.0,Rakesh Malhotra,German development fiUndisclosedce institution DEG,technology
